company_id,name
9ba4a673-1745-4824-9c0e-812958e20bb4,Bishop Fox
dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA
960acc33-d068-4e31-8b1e-6f1ff3a61255,GLOBAL BIOLIFE INC.
529030b2-a9ae-4df4-a449-ba8d65d8af42,"Oakley, Inc."
40432ae4-d8cd-48f7-bdc7-d2c3b1685719,NXP B.V.
5007525f-0ac3-4e4d-a94b-b1e18d19e112,Promation Incorporated
7c197b5c-035f-42b2-a95c-e63c364786e8,LUDWIG INSTITUTE FOR CANCER RESEARCH LTD.
461735da-1e01-4148-8ee3-7e610c5dca9b,Hoechst GmbH
a4327a73-17ff-49fe-b0ba-fca892fa4507,MEC COMPANY LTD
cb5367eb-ebac-459a-b013-d92860572522,"Nissan Motor Co., Ltd."
f1fef2b6-5266-4c67-8a56-9808cd8c6ec7,Alonim Holding Agricultural Cooperative Society Ltd.
4da0f0b5-4959-43e7-a977-1f43779b0e41,Dish Digital L.L.C.
be1d2dae-ac46-4a81-b309-53dfbc1af180,Steag Hamatech AG
7abcc22b-1633-49ae-a452-167e99701da1,TOSHIBA TEC KABUSHIKI KAISHA
3670a83b-bc3a-42e4-9e18-425f4ed53fc5,CONCORDIA DEVELOPMENT S.R.L.
3006c550-af04-49a6-be94-e08c33fee287,Joy Global Underground Mining LLC
55754f7e-e260-42ac-a700-1d2cc456c43e,"SEMICONDUCTOR ENERGY LABORATORY CO., LTD."
2295f6a9-e602-40a2-85c9-982983b51022,INSTITUT PASTEUR
6dd92a3b-fa04-4f80-ba36-8e9dba603913,"PACESETTER, INC."
9eb5f7d1-3679-4273-9447-2248bad6b563,K. Hartwall Oy Ab
0bc189af-3eb0-4f95-9c77-b230b103c2cb,PANASONIC HOLDINGS CORPORATION
533e0469-baac-46b7-9576-669db08092eb,"SAMSUNG DISPLAY CO., LTD."
bcf802d8-53dd-4e7e-bf4d-3b63625bdd3c,EASTMAN KODAK COMPANY
8272ac25-cbd9-40ab-88fe-de091144c294,"BEIJING XIAOMI MOBILE SOFTWARE CO., LTD."
c6b806b6-fbb7-4d2c-a966-6d85794c1ac6,"Rockwell Automation Technologies, Inc."
2e8af993-5283-4ce9-b12f-6cd0e2862cfd,"MORI SEIKI CO., LTD."
906da649-dd98-4eac-a78c-d5dc3cc385b1,LG ELECTRONICS INC.
3a89079c-9b5a-44d9-9a29-1374eed14194,Nvidia Corporation
7291c3e0-c930-4736-8861-a1c2d56fa04c,Iron Horse Coiled Tubing Inc.
ec6dfeaf-5622-4da6-ae89-7cbf8d904b2e,Board of Trustees of Michigan State University
b5a5cd96-3d20-485b-b881-71496ba3b1c8,VESUVIUS CRUCIBLE COMPANY
bec81223-c3d2-4a58-a405-a45962f42ad3,"SK Innovation Co., Ltd."
8a03b7d9-0444-4dfc-9737-bf029c47a462,"FORD GLOBAL TECHNOLOGIES, LLC"
7fd570bb-8d88-4ad9-832b-532add7b7500,"HONDA MOTOR CO., LTD."
dd6ff7dc-a714-4ed9-8119-6c7e76f3c3cd,"InterDigital VC Holdings, Inc."
520d139e-1d02-4ddd-8eaf-0eee52f71c5b,Cardinal Logistics Management Corporation
93f8c962-7a18-45c0-b192-7a141f9a8b6c,"HITACHI, LTD."
5952964e-63c6-4284-9012-0fdd0643f715,Fujitsu Limited
fb82b12b-4ee3-4382-a6bf-e772fc47850d,"Spinal Simplicity, LLC"
69d22936-ea9c-4506-b6f0-ecd8f19f1d87,"CoScreen, Inc."
e26f6502-4416-481e-b15a-e69178b15dfc,"Micron Technology, Inc."
362840e2-3829-49a3-80d7-ff1f2ce7ccf4,"J.D COMPONENTS CO., LTD."
635a1ad8-e5d2-4cb5-9427-237a68de26cc,MUUTO A/S
1c631b96-8301-4819-bd8c-2e69e2ef6c76,Robert Bosch GmbH
c8e2ce56-0d75-4764-b128-24d9a43a00f3,TELECOM PARISTECH
cd3ee715-db5b-4a7b-8abb-aaf940b060cc,"Toyo Jozo Company, Ltd."
b4880808-baf7-4038-9bfb-cc029bb676f6,Seagate Technology LLC
29b8f534-149e-443c-b76b-3c4a222da89c,International Business Machines Corporation
9234545c-0b3a-4abe-b3d8-b9c6099f2b85,BLACK & DECKER INC.
f65ede24-2e06-467c-a277-61beeaaf7982,Dosco Overseas Engineering Ltd.
a8ff5b01-5396-4174-bd3b-0245cf192b9b,"The United States of America, as represented by the Secretary of the Navy"
49c5148a-5d00-4ca0-a720-a0ee83dbdfd6,"Nano-Proprietary, Inc."
8aab048f-9515-4287-8343-b7fd26758cf5,ExxonMobil Chemical Patents Inc.
df177dc9-2bab-4962-a377-7bc58538742c,"PIONEER HI-BRED INTERNATIONAL, INC."
12e78a19-e5d2-4772-bc75-4124da840e88,"Parago, Inc."
1e5ab9a8-7f53-4512-97aa-65f9e592173a,Westinghouse Electric Company LLC
1f8bb203-47f2-4139-a868-493b21064238,"MITSUMI ELECTRIC CO., LTD."
ac631b8a-3010-448c-9252-7de7198a5fe1,Heim Universal Corporation
d3673047-b5b1-4cd2-8d2b-331cb97b866c,STMICROELECTRONICS APPLICATION GMBH
f03635c8-6b6c-4f2b-bb6c-b52678f56aae,QUALCOMM Incorporated
bfe67a50-5ccb-4a42-9605-7c4a4cbab367,"COOLER MASTER CO., LTD."
d1097181-f21f-4cfa-995a-7f16d587ea4a,"Hewlett-Packard Development Company, L.P."
1d4a3263-81e0-42e2-9285-34101f7de27f,Microsoft Corporation
ab642bf7-98c3-4cfb-968a-ac6616b61efc,"FOUNDRY NETWORKS, LLC"
6de5489e-ab6b-4e6a-88cf-cb1620d03ac1,"Hypertherm, Inc."
439ae435-aaca-49f6-82c4-dd2998cd48ba,NATIONAL TAIWAN UNIVERSITY
a45783ae-9cec-49bc-bc2e-7b064aaa5907,Raytheon Company
b1305fbb-d662-44a1-9749-7a036ccaad90,Asahi Kogaku Kogyo Kabushiki Kaisha
a3159c0a-1b8d-4e32-8799-b2f485f34d1a,Square D Company
5337b0ed-b4c1-484f-9d16-355fe052f7c9,"Century Industries, LLC"
a42ba1ca-eafb-4dff-b0a2-604b53435405,Broadcom Corporation
f82a2bf2-0c74-440d-93f8-1e5d55a9c7ad,SGS-Thomson Microelectronics S.A.
569ad139-acf8-489e-94ee-7221128253ee,"Snell Holdings, LLC"
9971439c-aa8f-4cf2-b787-3b80dc992cfa,NEC CORPORATION
ac742735-40be-4b3a-b926-5bd28e5e79de,"NIPPON SHEET GLASS COMPANY, LIMITED"
bcae239c-cdb2-4c37-b496-50d8bb651bb9,UNIVERSITE DE LA MEDITERRANEE
5d15604f-b833-44a5-8dd2-8b654824735c,Smart Transport Solutions
df604781-6a76-471f-90e1-4b6b22d6f92e,"Flownetix, Limited"
f1dd9d80-dc90-4ad0-a89e-892f5580c67d,TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED
